,Selected,vst_mean,vst_variable,vst_variance,vst_variance_expected,vst_variance_standardized,highly_variable,means,dispersions,dispersions_norm,mean,std
Gm49359,0.0,5.6401896,0,257.26132,347.7993,0.73968333,False,0.08334367373288254,-0.4476379332503504,0.2792525,0.06796301208952307,0.15936860103729666
Zfp934,0.0,3.3615887,0,99.897644,198.1075,0.50425977,False,0.05136575468932425,-0.7598646077797403,0.019734824,0.04368771037797236,0.11374027141955219
6720489N17Rik,0.0,3.340249,0,149.61726,196.66896,0.76075685,False,0.05041875213429296,-0.37888372570318224,0.33639988,0.03995370347365272,0.13119190996741975
Platr25,0.0,14.348548,0,917.9982,903.84094,1.0156635,False,0.20813092316922788,0.16728322891945197,0.79036486,0.1599279607054466,0.274813439951296
Gm5141,0.0,2.9733255,0,102.85753,172.05156,0.5978297,False,0.043670280489530255,-0.6328775395920695,0.12528439,0.03634455567646909,0.11092241007817936
Gm48795,0.0,0.039715473,0,0.101031475,0.5852632,0.17262572,False,0.0006352940581416041,-3.231915486374625,-2.0349934,0.000623158935221598,0.004889566596432902
Fbp2,1.0,3.3592176,1,595.59094,197.94765,2.5926015,False,0.04800932274150341,0.6777009359570869,1.2146157,0.030141049997791245,0.15504057958192508
Fbp1,0.0,3.6206284,0,262.73026,215.59102,1.2186512,False,0.05380832107062289,0.018549770066746758,0.66674006,0.0391148089096554,0.15094607442227098
Aopep,0.0,34.46829,0,3527.4485,2408.805,1.4643978,True,0.43347619275873367,0.4739499296087396,1.1087244,0.3212440885244773,0.4283155103747633
Gm47587,0.0,0.007705987,0,0.013582339,0.026515603,0.51223946,False,0.00011269941452050628,-3.7441477258035993,-2.4607522,0.0001113898357158995,0.0016120162861108654
Fancc,0.0,13.494369,0,894.50635,848.12213,1.0546905,False,0.18840525088436447,0.005672750008977643,0.6560369,0.14374073145043217,0.26923355237113367
Gm16133,0.0,0.28986368,0,7.7243514,10.149259,0.76107544,False,0.005252434666657543,-0.42513912744098104,0.29795316,0.00419579755189221,0.04109907116808673
Gm16132,0.0,0.02667457,0,0.32846954,0.28194475,1.1650138,False,0.00040592891195022747,-1.743188182462185,-0.7975876,0.0003749576629073636,0.007612410195022531
Ptch1,1.0,23.09425,1,2780.0286,1491.0609,1.8644633,True,0.3142669683952762,0.7885022714055987,1.8519949,0.2249431020910477,0.3623040448930781
Gm30655,0.0,0.14107884,0,2.786728,4.0074835,0.69538105,False,0.002566072304096845,-1.113647569116433,-0.27432376,0.0022407060398027304,0.0239640652044003
